190115 100913.142|CONFIG|main|setFileHandlers|Now logging to /home/akilotus/AkiGithub/akikazecp/Vault/DSA_NMS_19/Basic_Contest1/pc2Client/bin/logs directory.
190115 100913.149|INFO|main|info|
190115 100913.155|INFO|main|info|Version 9.5.3 20180207 (Wednesday, February 7th 2018 04:25 UTC) Java ver 10.0.2 build 4653 Linux 4.15.0-43-generic (amd64) 
190115 100913.155|INFO|main|startLog|Working directory is /home/akilotus/AkiGithub/akikazecp/Vault/DSA_NMS_19/Basic_Contest1/pc2Client/bin
190115 100913.207|INFO|main|startLog|Process id is 16719@AkiLinux
190115 100913.208|INFO|main|start|Starting ConnectionManager...
190115 100913.275|INFO|main|start|Started ConnectionManager
190115 100913.277|INFO|main|setClientServerAndPort|INIFile File location: file:/home/akilotus/AkiGithub/akikazecp/Vault/DSA_NMS_19/Basic_Contest1/pc2Client/bin/pc2v9.ini
190115 100913.277|INFO|main|setClientServerAndPort|setClientServerAndPort 203.162.88.119 parsed as 203.162.88.119 port 50002
190115 100913.277|INFO|main|info|Contacting server at 203.162.88.119:50002
190115 100913.278|INFO|main|connectToMyServer|Connecting to 203.162.88.119:50002
